chr	fragmentMid1	fragmentMid2	p_value
21	15405000	14215000	1
21	15405000	14225000	1
21	15405000	14235000	1
21	15405000	14245000	1
21	15405000	14255000	1
21	15405000	14265000	1
21	15405000	14275000	1
21	15405000	14285000	1
21	15405000	14295000	1
21	15405000	14305000	1
21	15405000	14315000	1
21	15405000	14325000	1
21	15405000	14335000	1
21	15405000	14345000	1
21	15405000	14355000	1
21	15405000	14365000	1
21	15405000	14375000	1
21	15405000	14385000	1
21	15405000	14395000	1
21	15405000	14405000	1
21	15405000	14415000	1
21	15405000	14425000	1
21	15405000	14435000	1
21	15405000	14445000	1
21	15405000	14455000	1
21	15405000	14465000	1
21	15405000	14475000	1
21	15405000	14485000	0.3693331
21	15405000	14495000	1
21	15405000	14505000	1
21	15405000	14515000	1
21	15405000	14525000	1
21	15405000	14535000	1
21	15405000	14545000	1
21	15405000	14555000	1
21	15405000	14565000	1
21	15405000	14575000	1
21	15405000	14585000	1
21	15405000	14595000	1
21	15405000	14605000	1
21	15405000	14615000	1
21	15405000	14625000	0.4363747
21	15405000	14635000	1
21	15405000	14645000	1
21	15405000	14655000	1
21	15405000	14665000	1
21	15405000	14675000	1
21	15405000	14685000	1
21	15405000	14695000	1
21	15405000	14705000	1
21	15405000	14715000	1
21	15405000	14725000	1
21	15405000	14735000	1
21	15405000	14745000	1
21	15405000	14755000	1
21	15405000	14765000	1
21	15405000	14775000	1
21	15405000	14785000	1
21	15405000	14795000	1
21	15405000	14805000	1
21	15405000	14815000	1
21	15405000	14825000	1
21	15405000	14835000	1
21	15405000	14845000	1
21	15405000	14855000	1
21	15405000	14865000	1
21	15405000	14875000	1
21	15405000	14885000	1
21	15405000	14895000	1
21	15405000	14905000	1
21	15405000	14915000	1
21	15405000	14925000	1
21	15405000	14935000	1
21	15405000	14945000	1
21	15405000	14955000	1
21	15405000	14965000	1
21	15405000	14975000	1
21	15405000	14985000	1
21	15405000	14995000	1
21	15405000	15005000	1
21	15405000	15015000	1
21	15405000	15025000	1
21	15405000	15035000	1
21	15405000	15045000	1
21	15405000	15055000	1
21	15405000	15065000	1
21	15405000	15075000	1
21	15405000	15085000	1
21	15405000	15095000	1
21	15405000	15105000	1
21	15405000	15115000	1
21	15405000	15125000	1
21	15405000	15135000	1
21	15405000	15145000	1
21	15405000	15155000	1
21	15405000	15165000	1
21	15405000	15175000	1
21	15405000	15185000	1
21	15405000	15195000	1
21	15405000	15205000	1
21	15405000	15215000	1
21	15405000	15225000	0.918234
21	15405000	15235000	1
21	15405000	15245000	1
21	15405000	15255000	0.9429384
21	15405000	15265000	1
21	15405000	15275000	1
21	15405000	15285000	0.9665231
21	15405000	15295000	0.9728987
21	15405000	15305000	1
21	15405000	15315000	1
21	15405000	15325000	1
21	15405000	15335000	0.966032
21	15405000	15345000	1
21	15405000	15355000	0.8971479
21	15405000	15365000	0.999665
21	15405000	15375000	0.9979948
21	15405000	15385000	0.9996507
21	15415000	13415000	1
21	15415000	13425000	1
21	15415000	13435000	1
21	15415000	13445000	1
21	15415000	13455000	1
21	15415000	13465000	1
21	15415000	13475000	1
21	15415000	13485000	1
21	15415000	13495000	1
21	15415000	13505000	1
21	15415000	13515000	1
21	15415000	13525000	1
21	15415000	13535000	1
21	15415000	13545000	1
21	15415000	13555000	1
21	15415000	13565000	1
21	15415000	13575000	1
21	15415000	13585000	1
21	15415000	13595000	1
21	15415000	13605000	1
21	15415000	13615000	1
21	15415000	13625000	1
21	15415000	13635000	1
21	15415000	13645000	1
21	15415000	13655000	1
21	15415000	13665000	1
21	15415000	13675000	1
21	15415000	13685000	1
21	15415000	13695000	1
21	15415000	13705000	1
21	15415000	13715000	1
21	15415000	13725000	1
21	15415000	13735000	1
21	15415000	13745000	1
21	15415000	13755000	1
21	15415000	13765000	1
21	15415000	13775000	1
21	15415000	13785000	1
21	15415000	13795000	1
21	15415000	13805000	1
21	15415000	13815000	1
21	15415000	13825000	1
21	15415000	13835000	1
21	15415000	13845000	1
21	15415000	13855000	1
21	15415000	13865000	1
21	15415000	13875000	1
21	15415000	13885000	1
21	15415000	13895000	1
21	15415000	13905000	1
21	15415000	13915000	1
21	15415000	13925000	1
21	15415000	13935000	1
21	15415000	13945000	1
21	15415000	13955000	1
21	15415000	13965000	1
21	15415000	13975000	1
21	15415000	13985000	1
21	15415000	13995000	1
21	15415000	14005000	1
21	15415000	14015000	1
21	15415000	14025000	1
21	15415000	14035000	1
21	15415000	14045000	1
21	15415000	14055000	1
21	15415000	14065000	1
21	15415000	14075000	1
21	15415000	14085000	1
21	15415000	14095000	1
21	15415000	14105000	1
21	15415000	14115000	1
21	15415000	14125000	1
21	15415000	14135000	1
21	15415000	14145000	1
21	15415000	14155000	1
21	15415000	14165000	1
21	15415000	14175000	1
21	15415000	14185000	1
21	15415000	14195000	1
21	15415000	14205000	1
21	15415000	14215000	1
21	15415000	14225000	1
21	15415000	14235000	1
21	15415000	14245000	1
21	15415000	14255000	1
21	15415000	14265000	1
21	15415000	14275000	1
21	15415000	14285000	1
21	15415000	14295000	1
21	15415000	14305000	1
21	15415000	14315000	1
21	15415000	14325000	1
21	15415000	14335000	1
21	15415000	14345000	1
21	15415000	14355000	1
21	15415000	14365000	1
21	15415000	14375000	1
21	15415000	14385000	1
21	15415000	14395000	1
21	15415000	14405000	1
21	15415000	14415000	1
21	15415000	14425000	1
21	15415000	14435000	0.3466524
21	15415000	14445000	1
21	15415000	14455000	1
21	15415000	14465000	1
21	15415000	14475000	1
21	15415000	14485000	1
21	15415000	14495000	1
21	15415000	14505000	1
21	15415000	14515000	1
21	15415000	14525000	1
21	15415000	14535000	1
21	15415000	14545000	1
21	15415000	14555000	1
21	15415000	14565000	1
21	15415000	14575000	1
21	15415000	14585000	1
21	15415000	14595000	1
21	15415000	14605000	1
21	15415000	14615000	1
21	15415000	14625000	0.4308882
21	15415000	14635000	1
21	15415000	14645000	1
21	15415000	14655000	1
21	15415000	14665000	1
21	15415000	14675000	1
21	15415000	14685000	1
21	15415000	14695000	1
21	15415000	14705000	1
21	15415000	14715000	1
21	15415000	14725000	1
21	15415000	14735000	0.4969956
21	15415000	14745000	0.5035989
21	15415000	14755000	1
21	15415000	14765000	1
21	15415000	14775000	1
21	15415000	14785000	0.5308788
21	15415000	14795000	1
21	15415000	14805000	1
21	15415000	14815000	1
21	15415000	14825000	1
21	15415000	14835000	1
21	15415000	14845000	0.5740524
21	15415000	14855000	1
21	15415000	14865000	1
21	15415000	14875000	1
21	15415000	14885000	1
21	15415000	14895000	1
21	15415000	14905000	1
21	15415000	14915000	1
21	15415000	14925000	1
21	15415000	14935000	1
21	15415000	14945000	1
21	15415000	14955000	1
21	15415000	14965000	1
21	15415000	14975000	1
21	15415000	14985000	1
21	15415000	14995000	1
21	15415000	15005000	1
21	15415000	15015000	1
21	15415000	15025000	1
21	15415000	15035000	1
21	15415000	15045000	1
21	15415000	15055000	1
21	15415000	15065000	1
21	15415000	15075000	1
21	15415000	15085000	1
21	15415000	15095000	1
21	15415000	15105000	1
21	15415000	15115000	1
21	15415000	15125000	1
21	15415000	15135000	1
21	15415000	15145000	1
21	15415000	15155000	1
21	15415000	15165000	1
21	15415000	15175000	1
21	15415000	15185000	1
21	15415000	15195000	1
21	15415000	15205000	1
21	15415000	15215000	1
21	15415000	15225000	1
21	15415000	15235000	0.918234
21	15415000	15245000	1
21	15415000	15255000	0.7558814
21	15415000	15265000	1
21	15415000	15275000	1
21	15415000	15285000	1
21	15415000	15295000	1
21	15415000	15305000	0.9728987
21	15415000	15315000	0.9790979
21	15415000	15325000	0.9851684
21	15415000	15335000	0.9905424
21	15415000	15345000	0.9945285
21	15415000	15355000	1
21	15415000	15365000	0.9899763
21	15415000	15375000	0.9576579
21	15415000	15385000	0.9996507
21	15415000	15395000	0.9773552
21	15425000	13425000	1
21	15425000	13435000	1
21	15425000	13445000	1
21	15425000	13455000	1
21	15425000	13465000	1
21	15425000	13475000	1
21	15425000	13485000	1
21	15425000	13495000	1
21	15425000	13505000	1
21	15425000	13515000	1
21	15425000	13525000	1
21	15425000	13535000	1
21	15425000	13545000	1
21	15425000	13555000	1
21	15425000	13565000	1
21	15425000	13575000	1
21	15425000	13585000	1
21	15425000	13595000	1
21	15425000	13605000	1
21	15425000	13615000	1
21	15425000	13625000	1
21	15425000	13635000	1
21	15425000	13645000	1
21	15425000	13655000	1
21	15425000	13665000	1
21	15425000	13675000	1
21	15425000	13685000	1
21	15425000	13695000	1
21	15425000	13705000	1
21	15425000	13715000	1
21	15425000	13725000	1
21	15425000	13735000	1
21	15425000	13745000	1
21	15425000	13755000	1
21	15425000	13765000	1
21	15425000	13775000	1
21	15425000	13785000	1
21	15425000	13795000	1
21	15425000	13805000	1
21	15425000	13815000	1
21	15425000	13825000	1
21	15425000	13835000	1
21	15425000	13845000	1
21	15425000	13855000	1
21	15425000	13865000	1
21	15425000	13875000	1
21	15425000	13885000	1
21	15425000	13895000	1
21	15425000	13905000	1
21	15425000	13915000	1
21	15425000	13925000	1
21	15425000	13935000	1
21	15425000	13945000	1
21	15425000	13955000	1
21	15425000	13965000	1
21	15425000	13975000	1
21	15425000	13985000	1
21	15425000	13995000	1
21	15425000	14005000	1
21	15425000	14015000	1
21	15425000	14025000	1
21	15425000	14035000	1
21	15425000	14045000	1
21	15425000	14055000	1
21	15425000	14065000	1
21	15425000	14075000	1
21	15425000	14085000	1
21	15425000	14095000	1
21	15425000	14105000	1
21	15425000	14115000	1
21	15425000	14125000	1
21	15425000	14135000	1
21	15425000	14145000	1
21	15425000	14155000	1
21	15425000	14165000	1
21	15425000	14175000	1
21	15425000	14185000	1
21	15425000	14195000	1
21	15425000	14205000	1
21	15425000	14215000	1
21	15425000	14225000	1
21	15425000	14235000	1
21	15425000	14245000	1
21	15425000	14255000	1
21	15425000	14265000	1
21	15425000	14275000	1
21	15425000	14285000	1
21	15425000	14295000	1
21	15425000	14305000	1
21	15425000	14315000	1
21	15425000	14325000	1
21	15425000	14335000	1
21	15425000	14345000	1
21	15425000	14355000	1
21	15425000	14365000	1
21	15425000	14375000	1
21	15425000	14385000	1
21	15425000	14395000	1
21	15425000	14405000	0.3332394
21	15425000	14415000	0.3364769
21	15425000	14425000	1
21	15425000	14435000	1
21	15425000	14445000	1
21	15425000	14455000	1
21	15425000	14465000	1
21	15425000	14475000	1
21	15425000	14485000	1
21	15425000	14495000	1
21	15425000	14505000	1
21	15425000	14515000	1
21	15425000	14525000	1
21	15425000	14535000	1
21	15425000	14545000	1
21	15425000	14555000	1
21	15425000	14565000	1
21	15425000	14575000	1
21	15425000	14585000	1
21	15425000	14595000	1
21	15425000	14605000	1
21	15425000	14615000	1
21	15425000	14625000	1
21	15425000	14635000	1
21	15425000	14645000	1
21	15425000	14655000	1
21	15425000	14665000	1
21	15425000	14675000	1
21	15425000	14685000	1
21	15425000	14695000	1
21	15425000	14705000	1
21	15425000	14715000	1
21	15425000	14725000	1
21	15425000	14735000	1
21	15425000	14745000	0.4969956
21	15425000	14755000	1
21	15425000	14765000	1
21	15425000	14775000	1
21	15425000	14785000	1
21	15425000	14795000	1
21	15425000	14805000	1
21	15425000	14815000	1
21	15425000	14825000	0.5521589
21	15425000	14835000	1
21	15425000	14845000	1
21	15425000	14855000	1
21	15425000	14865000	1
21	15425000	14875000	0.5890033
21	15425000	14885000	1
21	15425000	14895000	1
21	15425000	14905000	1
21	15425000	14915000	1
21	15425000	14925000	1
21	15425000	14935000	1
21	15425000	14945000	0.6436952
21	15425000	14955000	0.6517917
21	15425000	14965000	1
21	15425000	14975000	1
21	15425000	14985000	1
21	15425000	14995000	1
21	15425000	15005000	1
21	15425000	15015000	1
21	15425000	15025000	1
21	15425000	15035000	1
21	15425000	15045000	1
21	15425000	15055000	1
21	15425000	15065000	1
21	15425000	15075000	1
21	15425000	15085000	1
21	15425000	15095000	1
21	15425000	15105000	1
21	15425000	15115000	1
21	15425000	15125000	1
21	15425000	15135000	1
21	15425000	15145000	1
21	15425000	15155000	1
21	15425000	15165000	1
21	15425000	15175000	1
21	15425000	15185000	1
21	15425000	15195000	1
21	15425000	15205000	1
21	15425000	15215000	0.38944
21	15425000	15225000	0.9023618
21	15425000	15235000	1
21	15425000	15245000	0.918234
21	15425000	15255000	1
21	15425000	15265000	1
21	15425000	15275000	1
21	15425000	15285000	0.9514132
21	15425000	15295000	0.9593905
21	15425000	15305000	1
21	15425000	15315000	0.9728987
21	15425000	15325000	1
21	15425000	15335000	0.7912114
21	15425000	15345000	0.9464608
21	15425000	15355000	0.9945285
21	15425000	15365000	0.9800604
21	15425000	15375000	1
21	15425000	15385000	0.9576579
21	15425000	15395000	0.5901034
21	15425000	15405000	0.1055005
21	15435000	13435000	1
21	15435000	13445000	1
21	15435000	13455000	1
21	15435000	13465000	1
21	15435000	13475000	1
21	15435000	13485000	1
21	15435000	13495000	1
21	15435000	13505000	1
21	15435000	13515000	1
21	15435000	13525000	1
21	15435000	13535000	1
21	15435000	13545000	1
21	15435000	13555000	1
21	15435000	13565000	1
21	15435000	13575000	1
21	15435000	13585000	1
21	15435000	13595000	1
21	15435000	13605000	1
21	15435000	13615000	1
21	15435000	13625000	1
21	15435000	13635000	1
21	15435000	13645000	1
21	15435000	13655000	1
21	15435000	13665000	1
21	15435000	13675000	1
21	15435000	13685000	1
21	15435000	13695000	1
21	15435000	13705000	1
21	15435000	13715000	1
21	15435000	13725000	1
21	15435000	13735000	1
21	15435000	13745000	1
21	15435000	13755000	1
21	15435000	13765000	1
21	15435000	13775000	1
21	15435000	13785000	1
21	15435000	13795000	1
21	15435000	13805000	1
21	15435000	13815000	1
21	15435000	13825000	1
21	15435000	13835000	1
21	15435000	13845000	1
21	15435000	13855000	1
21	15435000	13865000	1
21	15435000	13875000	1
21	15435000	13885000	1
21	15435000	13895000	1
21	15435000	13905000	1
21	15435000	13915000	1
21	15435000	13925000	1
21	15435000	13935000	1
21	15435000	13945000	1
21	15435000	13955000	1
21	15435000	13965000	1
21	15435000	13975000	1
21	15435000	13985000	1
21	15435000	13995000	1
21	15435000	14005000	1
21	15435000	14015000	1
21	15435000	14025000	1
21	15435000	14035000	1
21	15435000	14045000	1
21	15435000	14055000	1
21	15435000	14065000	1
21	15435000	14075000	1
21	15435000	14085000	1
21	15435000	14095000	1
21	15435000	14105000	1
21	15435000	14115000	1
21	15435000	14125000	1
21	15435000	14135000	1
21	15435000	14145000	1
21	15435000	14155000	1
21	15435000	14165000	1
21	15435000	14175000	1
21	15435000	14185000	1
21	15435000	14195000	1
21	15435000	14205000	1
21	15435000	14215000	1
21	15435000	14225000	1
21	15435000	14235000	1
21	15435000	14245000	1
21	15435000	14255000	1
21	15435000	14265000	1
21	15435000	14275000	1
21	15435000	14285000	1
21	15435000	14295000	1
21	15435000	14305000	1
21	15435000	14315000	1
21	15435000	14325000	1
21	15435000	14335000	1
21	15435000	14345000	1
21	15435000	14355000	1
21	15435000	14365000	1
21	15435000	14375000	1
21	15435000	14385000	1
21	15435000	14395000	1
21	15435000	14405000	1
21	15435000	14415000	1
21	15435000	14425000	1
21	15435000	14435000	1
21	15435000	14445000	1
21	15435000	14455000	1
21	15435000	14465000	1
21	15435000	14475000	1
21	15435000	14485000	1
21	15435000	14495000	1
21	15435000	14505000	1
21	15435000	14515000	1
21	15435000	14525000	1
21	15435000	14535000	1
21	15435000	14545000	1
21	15435000	14555000	1
21	15435000	14565000	1
21	15435000	14575000	1
21	15435000	14585000	1
21	15435000	14595000	1
21	15435000	14605000	1
21	15435000	14615000	1
21	15435000	14625000	1
21	15435000	14635000	1
21	15435000	14645000	1
21	15435000	14655000	1
21	15435000	14665000	1
21	15435000	14675000	1
21	15435000	14685000	1
21	15435000	14695000	1
21	15435000	14705000	1
21	15435000	14715000	1
21	15435000	14725000	1
21	15435000	14735000	1
21	15435000	14745000	1
21	15435000	14755000	1
21	15435000	14765000	1
21	15435000	14775000	1
21	15435000	14785000	1
21	15435000	14795000	1
21	15435000	14805000	1
21	15435000	14815000	1
21	15435000	14825000	1
21	15435000	14835000	1
21	15435000	14845000	1
21	15435000	14855000	1
21	15435000	14865000	1
21	15435000	14875000	1
21	15435000	14885000	1
21	15435000	14895000	1
21	15435000	14905000	1
21	15435000	14915000	1
21	15435000	14925000	1
21	15435000	14935000	1
21	15435000	14945000	1
21	15435000	14955000	1
21	15435000	14965000	1
21	15435000	14975000	1
21	15435000	14985000	1
21	15435000	14995000	1
21	15435000	15005000	1
21	15435000	15015000	1
21	15435000	15025000	1
21	15435000	15035000	1
21	15435000	15045000	1
21	15435000	15055000	1
21	15435000	15065000	1
21	15435000	15075000	1
21	15435000	15085000	1
21	15435000	15095000	1
21	15435000	15105000	1
21	15435000	15115000	1
21	15435000	15125000	1
21	15435000	15135000	1
21	15435000	15145000	1
21	15435000	15155000	1
21	15435000	15165000	1
21	15435000	15175000	1
21	15435000	15185000	1
21	15435000	15195000	1
21	15435000	15205000	0.8759626
21	15435000	15215000	1
21	15435000	15225000	0.6563667
21	15435000	15235000	0.9023618
21	15435000	15245000	1
21	15435000	15255000	1
21	15435000	15265000	0.9262371
21	15435000	15275000	1
21	15435000	15285000	0.9429384
21	15435000	15295000	0.9514132
21	15435000	15305000	0.8292875
21	15435000	15315000	1
21	15435000	15325000	0.9728987
21	15435000	15335000	1
21	15435000	15345000	1
21	15435000	15355000	1
21	15435000	15365000	1
21	15435000	15375000	1
21	15435000	15385000	1
21	15435000	15395000	1
21	15435000	15405000	0.9922586
21	15435000	15415000	0.8130685
21	15445000	13445000	1
21	15445000	13455000	1
21	15445000	13465000	1
21	15445000	13475000	1
21	15445000	13485000	1
21	15445000	13495000	1
21	15445000	13505000	1
21	15445000	13515000	1
21	15445000	13525000	1
21	15445000	13535000	1
21	15445000	13545000	1
21	15445000	13555000	1
21	15445000	13565000	1
21	15445000	13575000	1
21	15445000	13585000	1
21	15445000	13595000	1
21	15445000	13605000	1
21	15445000	13615000	1
21	15445000	13625000	1
21	15445000	13635000	1
21	15445000	13645000	1
21	15445000	13655000	1
21	15445000	13665000	1
21	15445000	13675000	1
21	15445000	13685000	1
21	15445000	13695000	1
21	15445000	13705000	1
21	15445000	13715000	1
21	15445000	13725000	1
21	15445000	13735000	1
21	15445000	13745000	1
21	15445000	13755000	1
21	15445000	13765000	1
21	15445000	13775000	1
21	15445000	13785000	1
21	15445000	13795000	1
21	15445000	13805000	1
21	15445000	13815000	1
21	15445000	13825000	1
21	15445000	13835000	1
21	15445000	13845000	1
21	15445000	13855000	1
21	15445000	13865000	1
21	15445000	13875000	1
21	15445000	13885000	1
21	15445000	13895000	1
21	15445000	13905000	1
21	15445000	13915000	1
21	15445000	13925000	1
21	15445000	13935000	1
21	15445000	13945000	1
21	15445000	13955000	1
21	15445000	13965000	1
21	15445000	13975000	1
21	15445000	13985000	1
21	15445000	13995000	1
21	15445000	14005000	1
21	15445000	14015000	1
21	15445000	14025000	1
21	15445000	14035000	1
21	15445000	14045000	1
21	15445000	14055000	1
21	15445000	14065000	1
21	15445000	14075000	1
21	15445000	14085000	1
21	15445000	14095000	1
21	15445000	14105000	1
21	15445000	14115000	1
21	15445000	14125000	1
21	15445000	14135000	1
21	15445000	14145000	1
21	15445000	14155000	1
21	15445000	14165000	1
21	15445000	14175000	1
21	15445000	14185000	1
21	15445000	14195000	1
21	15445000	14205000	1
21	15445000	14215000	1
21	15445000	14225000	1
21	15445000	14235000	1
21	15445000	14245000	1
21	15445000	14255000	1
21	15445000	14265000	1
21	15445000	14275000	1
21	15445000	14285000	1
21	15445000	14295000	1
21	15445000	14305000	1
21	15445000	14315000	1
21	15445000	14325000	1
21	15445000	14335000	1
21	15445000	14345000	1
21	15445000	14355000	1
21	15445000	14365000	1
21	15445000	14375000	1
21	15445000	14385000	1
21	15445000	14395000	1
21	15445000	14405000	1
21	15445000	14415000	0.330074
21	15445000	14425000	1
21	15445000	14435000	1
21	15445000	14445000	1
21	15445000	14455000	1
21	15445000	14465000	1
21	15445000	14475000	1
21	15445000	14485000	1
21	15445000	14495000	1
21	15445000	14505000	1
21	15445000	14515000	1
21	15445000	14525000	1
21	15445000	14535000	1
21	15445000	14545000	1
21	15445000	14555000	1
21	15445000	14565000	1
21	15445000	14575000	1
21	15445000	14585000	1
21	15445000	14595000	1
21	15445000	14605000	1
21	15445000	14615000	1
21	15445000	14625000	1
21	15445000	14635000	1
21	15445000	14645000	1
21	15445000	14655000	1
21	15445000	14665000	1
21	15445000	14675000	1
21	15445000	14685000	1
21	15445000	14695000	1
21	15445000	14705000	1
21	15445000	14715000	1
21	15445000	14725000	1
21	15445000	14735000	1
21	15445000	14745000	1
21	15445000	14755000	1
21	15445000	14765000	1
21	15445000	14775000	1
21	15445000	14785000	1
21	15445000	14795000	1
21	15445000	14805000	1
21	15445000	14815000	1
21	15445000	14825000	1
21	15445000	14835000	1
21	15445000	14845000	1
21	15445000	14855000	1
21	15445000	14865000	1
21	15445000	14875000	1
21	15445000	14885000	1
21	15445000	14895000	1
21	15445000	14905000	1
21	15445000	14915000	1
21	15445000	14925000	1
21	15445000	14935000	1
21	15445000	14945000	1
21	15445000	14955000	1
21	15445000	14965000	1
21	15445000	14975000	1
21	15445000	14985000	1
21	15445000	14995000	1
21	15445000	15005000	1
21	15445000	15015000	1
21	15445000	15025000	1
21	15445000	15035000	1
21	15445000	15045000	1
21	15445000	15055000	1
21	15445000	15065000	1
21	15445000	15075000	1
21	15445000	15085000	1
21	15445000	15095000	1
21	15445000	15105000	1
21	15445000	15115000	1
21	15445000	15125000	1
21	15445000	15135000	1
21	15445000	15145000	1
21	15445000	15155000	1
21	15445000	15165000	1
21	15445000	15175000	1
21	15445000	15185000	1
21	15445000	15195000	1
21	15445000	15205000	1
21	15445000	15215000	1
21	15445000	15225000	0.8853354
21	15445000	15235000	1
21	15445000	15245000	1
21	15445000	15255000	1
21	15445000	15265000	1
21	15445000	15275000	1
21	15445000	15285000	1
21	15445000	15295000	1
21	15445000	15305000	1
21	15445000	15315000	1
21	15445000	15325000	0.9665231
21	15445000	15335000	1
21	15445000	15345000	1
21	15445000	15355000	1
21	15445000	15365000	1
21	15445000	15375000	0.966032
21	15445000	15385000	0.8336914
21	15445000	15395000	0.9899763
21	15445000	15405000	0.6867855
21	15445000	15415000	0.7095906
21	15445000	15425000	0.005201175
21	15455000	13455000	1
21	15455000	13465000	1
21	15455000	13475000	1
21	15455000	13485000	1
21	15455000	13495000	1
21	15455000	13505000	1
21	15455000	13515000	1
21	15455000	13525000	1
21	15455000	13535000	1
21	15455000	13545000	1
21	15455000	13555000	1
21	15455000	13565000	1
21	15455000	13575000	1
21	15455000	13585000	1
21	15455000	13595000	1
21	15455000	13605000	1
21	15455000	13615000	1
21	15455000	13625000	1
21	15455000	13635000	1
21	15455000	13645000	1
21	15455000	13655000	1
21	15455000	13665000	1
21	15455000	13675000	1
21	15455000	13685000	1
21	15455000	13695000	1
21	15455000	13705000	1
21	15455000	13715000	1
21	15455000	13725000	1
21	15455000	13735000	1
21	15455000	13745000	1
21	15455000	13755000	1
21	15455000	13765000	1
21	15455000	13775000	1
21	15455000	13785000	1
21	15455000	13795000	1
21	15455000	13805000	1
21	15455000	13815000	1
21	15455000	13825000	1
21	15455000	13835000	1
21	15455000	13845000	1
21	15455000	13855000	1
21	15455000	13865000	1
21	15455000	13875000	1
21	15455000	13885000	1
21	15455000	13895000	1
21	15455000	13905000	1
21	15455000	13915000	1
21	15455000	13925000	1
21	15455000	13935000	1
21	15455000	13945000	1
21	15455000	13955000	1
21	15455000	13965000	1
21	15455000	13975000	1
21	15455000	13985000	1
21	15455000	13995000	1
21	15455000	14005000	1
21	15455000	14015000	1
21	15455000	14025000	1
21	15455000	14035000	1
21	15455000	14045000	1
21	15455000	14055000	1
21	15455000	14065000	1
21	15455000	14075000	1
21	15455000	14085000	1
21	15455000	14095000	1
21	15455000	14105000	1
21	15455000	14115000	1
21	15455000	14125000	1
21	15455000	14135000	1
21	15455000	14145000	1
21	15455000	14155000	1
21	15455000	14165000	1
21	15455000	14175000	1
21	15455000	14185000	1
21	15455000	14195000	1
21	15455000	14205000	1
21	15455000	14215000	1
21	15455000	14225000	1
21	15455000	14235000	1
21	15455000	14245000	1
21	15455000	14255000	1
21	15455000	14265000	1
21	15455000	14275000	1
21	15455000	14285000	1
21	15455000	14295000	1
21	15455000	14305000	1
21	15455000	14315000	1
21	15455000	14325000	1
21	15455000	14335000	1
21	15455000	14345000	0.3069366
21	15455000	14355000	1
21	15455000	14365000	1
21	15455000	14375000	0.3152111
21	15455000	14385000	1
21	15455000	14395000	1
21	15455000	14405000	1
21	15455000	14415000	1
21	15455000	14425000	0.330074
21	15455000	14435000	0.3332394
21	15455000	14445000	1
21	15455000	14455000	1
21	15455000	14465000	1
21	15455000	14475000	1
21	15455000	14485000	1
21	15455000	14495000	1
21	15455000	14505000	1
21	15455000	14515000	1
21	15455000	14525000	1
21	15455000	14535000	1
21	15455000	14545000	1
21	15455000	14555000	1
21	15455000	14565000	1
21	15455000	14575000	1
21	15455000	14585000	1
21	15455000	14595000	1
21	15455000	14605000	1
21	15455000	14615000	1
21	15455000	14625000	1
21	15455000	14635000	1
21	15455000	14645000	1
21	15455000	14655000	1
21	15455000	14665000	1
21	15455000	14675000	1
21	15455000	14685000	0.4419691
21	15455000	14695000	1
21	15455000	14705000	1
21	15455000	14715000	1
21	15455000	14725000	1
21	15455000	14735000	1
21	15455000	14745000	1
21	15455000	14755000	1
21	15455000	14765000	1
21	15455000	14775000	0.4969956
21	15455000	14785000	1
21	15455000	14795000	1
21	15455000	14805000	1
21	15455000	14815000	1
21	15455000	14825000	0.5308788
21	15455000	14835000	1
21	15455000	14845000	1
21	15455000	14855000	1
21	15455000	14865000	1
21	15455000	14875000	1
